sex,age,educ,hours,income_more_50K
 Male,42,9,40,0
 Male,24,13,40,0
 Male,38,15,40,1
 Male,56,9,50,1
 Female,28,10,25,0
 Female,36,9,40,0
 Male,53,5,50,0
 Male,56,10,50,0
 Male,49,11,40,1
 Male,55,10,56,0
 Male,22,9,41,0
 Female,21,10,40,0
 Male,40,13,60,0
 Male,30,13,40,0
 Male,29,13,50,1
 Male,19,10,35,0
 Female,47,13,40,1
 Female,20,10,28,0
 Male,31,12,40,1
 Male,35,9,40,0
 Male,39,10,40,0
 Female,28,12,60,0
 Female,24,9,40,0
 Male,38,9,35,0
 Male,37,13,50,0
 Female,46,12,36,0
 Male,38,14,40,1
 Male,43,9,60,0
 Female,27,11,35,0
 Male,20,10,20,0
 Male,49,10,40,1
 Male,61,9,40,0
 Female,27,10,40,0
 Male,19,10,30,0
 Female,45,11,40,1
 Male,70,10,40,0
 Female,31,9,30,0
 Male,22,10,24,0
 Female,36,9,24,0
 Male,64,7,40,0
 Female,43,10,40,0
 Female,47,10,38,0
 Female,34,9,40,0
 Female,33,13,40,0
 Male,21,9,35,0
 Male,52,9,45,1
 Male,48,9,46,0
 Male,23,13,40,0
 Male,71,10,2,0
 Male,29,9,60,0
 Male,42,13,50,0
 Female,68,2,20,0
 Female,25,9,40,0
 Female,44,14,40,0
 Female,28,9,40,0
 Male,45,14,40,1
 Female,36,10,40,0
 Male,39,12,42,0
 Male,46,14,40,0
 Male,18,7,16,0
 Female,66,11,20,0
 Male,27,9,40,0
 Male,28,9,40,0
 Male,51,10,40,1
 Male,27,13,50,0
 Male,28,13,40,1
 Female,27,9,25,0
 Male,21,9,40,0
 Male,34,9,40,0
 Male,18,9,12,0
 Male,33,13,65,0
 Male,44,10,38,1
 Female,43,10,40,0
 Male,30,10,45,0
 Male,40,4,40,1
 Male,37,10,42,1
 Male,34,9,40,0
 Female,41,13,40,0
 Female,53,13,50,0
 Female,31,14,50,0
 Male,58,16,1,1
 Female,38,10,28,0
 Male,24,10,40,0
 Male,41,13,40,0
 Male,47,10,45,0
 Male,41,13,24,0
 Male,23,3,40,0
 Male,36,10,40,0
 Female,40,14,55,1
 Male,35,14,40,1
 Male,24,9,40,0
 Female,26,14,40,0
 Male,19,9,40,0
 Male,51,13,50,1
 Female,42,10,40,0
 Female,37,9,35,0
 Female,18,7,40,0
 Male,36,13,36,1
 Male,35,9,60,0
 Female,58,9,35,1
 Female,17,7,12,0
 Male,44,9,40,0
 Male,37,9,40,1
 Female,35,10,40,0
 Male,60,9,40,0
 Male,54,4,40,1
 Male,37,13,60,1
 Female,50,12,40,0
 Male,38,13,50,0
 Male,45,13,55,0
 Male,25,6,40,0
 Male,31,10,40,0
 Male,64,2,40,0
 Male,90,9,40,0
 Male,54,9,20,0
 Female,53,1,35,0
 Female,18,9,40,0
 Female,60,6,10,0
 Male,66,9,50,0
 Female,75,11,20,0
 Female,65,9,40,0
 Male,35,7,40,0
 Female,41,9,38,0
 Male,25,10,42,0
 Female,33,10,40,0
 Male,28,15,55,1
 Male,59,9,40,0
 Female,40,10,38,0
 Male,41,13,50,1
 Male,38,14,70,1
 Male,23,9,40,0
 Male,40,13,40,1
 Female,41,9,20,0
 Male,24,12,50,0
 Male,20,10,20,0
 Male,38,10,40,0
 Male,56,9,35,0
 Male,58,9,45,1
 Female,32,9,34,0
 Male,40,12,60,1
 Male,45,9,40,0
 Female,41,15,40,1
 Female,42,13,40,0
 Female,59,6,30,0
 Male,19,10,40,0
 Male,58,10,20,0
 Male,42,9,40,1
 Female,20,9,40,0
 Female,32,9,30,0
 Female,45,11,45,0
 Male,50,4,40,0
 Female,36,13,40,0
 Male,45,9,60,0
 Male,17,7,12,0
 Male,59,10,40,0
 Male,26,7,40,0
 Male,37,10,75,1
 Male,19,10,24,0
 Male,64,9,40,1
 Female,33,13,45,0
 Female,33,9,40,1
 Male,61,9,40,1
 Male,17,5,24,0
 Male,50,14,98,0
 Male,27,14,35,0
 Female,30,9,40,0
 Male,43,9,40,0
 Male,44,10,40,1
 Female,35,10,40,0
 Female,25,10,40,0
 Female,24,10,48,1
 Female,22,13,15,0
 Male,42,10,40,1
 Female,34,12,45,0
 Female,60,13,42,0
 Male,21,9,40,0
 Male,57,14,40,1
 Male,41,15,60,1
 Male,50,10,45,0
 Female,25,13,40,0
 Male,50,4,40,0
 Male,36,13,45,0
 Female,31,9,40,0
 Male,29,13,56,0
 Male,21,10,45,0
 Female,27,13,40,0
 Male,65,9,16,0
 Female,37,13,60,0
 Female,39,14,40,0
 Male,24,9,40,0
 Male,38,9,80,0
 Male,48,13,40,1
 Female,21,10,25,0
 Male,31,9,45,1
 Male,55,9,40,1
 Female,24,10,40,0
 Female,43,9,40,0
 Male,26,12,45,0
 Female,46,12,33,0
 Male,35,12,40,1
 Male,41,10,54,1
 Male,26,13,40,0
 Male,34,14,35,1
 Female,19,10,25,0
 Female,36,13,40,1
 Male,22,10,15,0
 Male,24,10,40,0
 Male,77,10,40,0
 Female,22,3,40,0
 Female,29,10,40,0
 Female,62,9,24,0
 Male,39,9,40,0
 Male,43,10,50,0
 Male,35,9,45,0
 Female,29,7,40,0
 Male,76,14,10,0
 Male,63,9,45,0
 Female,23,11,15,0
 Female,43,10,50,1
 Male,58,9,40,0
 Male,66,9,55,0
 Male,41,10,45,0
 Male,26,13,40,0
 Male,47,11,40,0
 Male,55,6,40,0
 Male,53,9,40,0
 Male,17,3,48,0
 Male,30,9,40,0
 Male,49,14,60,0
 Male,19,9,30,0
 Male,45,9,40,0
 Male,26,12,40,0
 Male,38,11,40,1
 Male,36,9,40,1
 Male,33,9,20,0
 Female,22,10,40,0
 Male,43,13,42,0
 Male,67,7,8,0
 Female,30,11,40,0
 Male,56,12,25,0
 Male,31,13,25,0
 Male,33,13,40,1
 Male,26,9,40,0
 Male,33,13,40,1
 Male,46,7,30,0
 Male,59,13,40,1
 Male,38,9,40,1
 Male,65,7,40,0
 Male,40,11,40,1
 Female,42,9,35,0
 Male,26,5,40,0
 Female,36,6,24,0
 Male,62,14,40,1
 Male,43,13,45,0
 Male,43,13,45,1
 Male,22,9,55,0
 Male,28,9,40,0
 Male,56,10,45,0
 Female,22,12,15,0
 Female,57,13,45,1
 Female,39,9,40,0
 Female,26,10,15,0
 Male,17,7,10,0
 Male,40,11,38,1
 Male,45,9,40,0
 Male,44,9,40,0
 Female,20,10,10,0
 Female,33,9,40,0
 Male,23,10,40,0
 Male,46,14,30,0
 Male,38,9,50,0
 Male,54,9,40,0
 Female,46,3,45,0
 Male,25,10,40,0
 Female,46,10,40,0
 Female,36,10,40,0
 Female,23,9,25,0
 Male,29,9,40,0
 Female,44,10,6,1
 Female,19,10,16,0
 Female,19,9,40,0
 Female,35,9,40,1
 Male,27,13,50,0
 Male,46,12,40,0
 Male,34,13,45,1
 Female,34,9,35,0
 Male,44,10,40,0
 Female,45,10,40,0
 Female,20,9,35,0
 Male,25,13,55,1
 Male,52,13,50,1
 Male,20,10,40,0
 Female,28,10,40,0
 Male,50,13,40,1
 Female,34,11,64,0
 Male,28,4,40,0
 Male,41,14,65,1
 Male,28,9,40,0
 Male,46,9,25,0
 Female,28,10,40,1
 Male,32,10,50,0
 Female,41,10,24,0
 Female,24,9,40,0
 Female,33,10,40,0
 Male,46,16,60,1
 Male,31,10,40,0
 Male,35,8,50,1
 Male,52,2,40,0
 Female,30,7,19,0
 Male,34,7,40,0
 Female,34,9,40,0
 Male,20,10,30,0
 Male,17,7,18,0
 Female,32,13,40,1
 Male,29,9,40,0
 Female,33,6,35,0
 Male,25,9,60,0
 Male,36,14,40,0
 Male,23,9,72,0
 Male,63,9,40,1
 Male,47,14,40,0
 Male,80,9,24,0
 Male,17,7,40,0
 Female,40,13,40,0
 Female,30,12,25,1
 Male,27,10,40,0
 Male,33,14,50,1
 Male,34,9,60,0
 Female,34,10,40,0
 Male,23,10,40,0
 Female,42,10,40,0
 Male,29,13,40,0
 Female,45,9,28,0
 Male,24,9,40,0
 Male,44,10,40,1
 Male,27,5,40,0
 Male,20,10,35,0
 Female,44,9,40,0
 Male,51,9,40,0
 Male,20,9,40,0
 Female,17,7,5,0
 Female,19,9,40,0
 Male,45,10,55,1
 Male,60,9,40,1
 Male,42,12,40,1
 Female,44,9,40,1
 Male,40,11,40,1
 Female,30,9,40,0
 Male,38,10,50,0
 Male,23,9,60,0
 Male,32,10,40,0
 Male,44,12,40,0
 Male,54,9,40,0
 Male,32,13,50,0
 Male,50,2,40,0
 Female,24,13,20,0
 Female,37,9,60,0
 Male,52,9,40,0
 Male,38,10,40,0
 Male,49,14,45,1
 Female,30,13,16,1
 Male,60,10,40,1
 Male,22,10,40,0
 Male,35,9,40,0
 Male,30,9,60,0
 Female,67,11,24,0
 Female,46,13,40,0
 Male,17,5,6,0
 Male,22,10,30,0
 Male,27,6,40,0
 Female,23,9,35,0
 Male,33,12,45,0
 Male,43,10,20,0
 Male,28,13,20,0
 Female,41,9,40,0
 Male,52,8,40,0
 Female,25,10,20,0
 Male,63,2,35,0
 Male,59,9,45,0
 Female,45,13,40,0
 Male,38,13,60,1
 Female,40,9,35,0
 Male,46,9,40,0
 Female,35,12,60,0
 Female,34,9,25,0
 Male,33,13,20,0
 Female,41,9,36,0
 Male,20,10,40,0
 Male,23,3,40,0
 Female,26,10,35,0
 Male,72,9,20,0
 Male,23,9,40,0
 Male,62,9,40,0
 Male,52,10,40,0
 Female,58,10,42,0
 Female,25,13,40,0
 Male,24,13,40,0
 Male,19,10,8,0
 Male,43,10,40,0
 Female,47,9,40,0
 Female,39,9,40,0
 Male,49,11,42,0
 Female,53,3,30,0
 Male,32,11,45,0
 Male,34,10,50,1
 Male,28,9,45,0
 Female,57,11,38,0
 Female,25,10,20,0
 Male,20,10,24,0
 Female,21,10,35,0
 Male,34,13,50,1
 Male,38,13,80,1
 Male,50,9,50,1
 Male,24,10,50,0
 Male,37,10,45,1
 Male,44,10,58,1
 Female,28,10,40,0
 Male,42,13,40,1
 Female,74,10,9,0
 Male,38,9,50,0
 Male,44,14,40,0
 Female,44,7,46,0
 Male,26,9,40,0
 Male,36,9,40,0
 Female,41,12,50,1
 Male,67,15,48,1
 Male,39,8,50,0
 Female,57,2,30,0
 Male,29,11,40,0
 Female,31,13,45,0
 Female,34,9,40,0
 Male,44,10,40,0
 Male,29,16,40,0
 Female,30,10,40,0
 Male,27,9,40,0
 Male,27,10,50,0
 Female,32,9,45,0
 Female,58,6,8,0
 Male,35,10,40,0
 Male,21,9,36,0
 Male,28,10,40,0
 Male,46,10,50,0
 Female,36,9,40,0
 Female,72,7,40,0
 Female,35,9,40,0
 Female,33,11,40,1
 Female,69,7,40,0
 Male,35,9,40,0
 Female,31,9,20,0
 Female,34,9,32,0
 Male,30,7,40,0
 Male,28,13,55,0
 Male,54,13,35,1
 Male,47,10,50,1
 Female,24,9,40,0
 Male,52,13,60,1
 Male,20,9,48,0
 Male,43,14,45,0
 Female,45,4,40,0
 Male,29,9,35,0
 Male,47,14,42,0
 Male,24,9,40,0
 Male,51,9,40,0
 Male,17,7,12,0
 Male,37,11,40,1
 Female,27,16,70,0
 Male,29,13,40,1
 Male,18,8,25,0
 Female,36,12,35,0
 Female,58,13,40,0
 Male,26,10,45,0
 Male,65,10,30,1
 Male,57,9,40,1
 Male,59,9,40,0
 Male,27,9,40,0
 Male,31,13,40,0
 Female,21,10,24,0
 Male,29,10,60,0
 Male,18,7,40,0
 Male,52,6,47,1
 Male,57,13,80,0
 Male,42,9,40,0
 Female,55,9,40,0
 Male,60,4,48,1
 Male,31,13,40,1
 Female,23,13,40,0
 Male,27,9,40,0
 Female,23,10,25,0
 Male,42,15,50,1
 Male,25,10,40,0
 Female,49,13,45,0
 Male,32,13,40,0
 Male,19,10,28,0
 Female,60,4,40,0
 Male,42,5,40,0
 Male,35,12,40,0
 Female,48,9,37,0
 Male,51,14,40,1
 Male,29,9,40,0
 Male,36,9,40,0
 Female,17,6,21,0
 Female,52,14,60,0
 Male,24,9,40,0
 Male,24,9,50,0
 Male,26,13,40,0
 Female,27,13,20,0
 Male,39,9,60,0
 Male,30,9,45,0
 Male,50,9,32,0
 Male,52,13,55,0
 Male,46,15,45,1
 Female,23,13,20,0
 Female,45,7,20,0
 Female,65,5,24,0
 Male,29,11,55,0
 Male,47,5,40,0
 Male,30,9,60,0
 Male,34,9,45,1
 Male,38,9,64,0
 Male,33,10,40,1
 Male,49,13,26,1
 Female,47,10,40,0
 Female,49,6,40,0
 Male,43,10,60,1
 Female,30,13,40,1
 Male,58,9,60,0
 Female,19,9,14,0
 Male,21,13,40,0
 Male,33,13,60,1
 Male,47,3,50,0
 Male,52,16,60,1
 Male,26,9,55,0
 Male,60,9,40,0
 Male,21,10,40,0
 Male,36,10,50,1
 Male,31,10,45,0
 Male,50,16,40,1
 Female,31,9,40,0
 Male,71,9,15,0
 Male,58,9,50,0
 Male,30,13,40,1
 Male,20,10,20,0
 Male,24,9,50,0
 Male,35,16,40,1
 Female,38,10,45,0
 Female,27,9,32,0
 Female,29,10,40,0
 Female,70,5,15,0
 Male,34,9,45,0
 Male,44,4,35,0
 Male,43,9,40,1
 Male,44,8,40,1
 Male,35,14,60,0
 Male,27,10,40,0
 Male,43,14,38,0
 Female,20,10,25,0
 Female,42,12,40,1
 Male,27,10,40,0
 Male,42,9,40,1
 Female,20,7,40,0
 Male,24,5,40,0
 Male,48,10,40,0
 Female,17,7,20,0
 Male,17,7,10,0
 Male,33,13,40,1
 Male,50,9,50,1
 Female,22,9,40,0
 Male,17,8,16,0
 Male,32,10,40,0
 Male,31,9,45,0
 Male,58,9,50,0
 Male,29,9,48,0
 Male,37,11,40,1
 Male,34,9,40,1
 Male,23,10,40,0
 Female,18,7,5,0
 Female,34,9,40,0
 Male,66,4,4,0
 Female,45,13,55,0
 Male,41,14,35,0
 Male,26,9,30,0
 Male,54,10,40,0
 Female,24,10,45,0
 Male,42,10,50,0
 Male,20,10,20,0
 Female,23,13,20,0
 Male,25,12,45,0
 Male,35,14,60,1
 Male,31,14,40,1
 Female,30,13,40,0
 Female,19,9,20,0
 Male,36,13,50,0
 Female,31,13,40,0
 Male,21,10,30,0
 Male,31,10,40,0
 Female,46,16,65,1
 Female,44,13,50,1
 Male,40,8,40,0
 Male,45,10,40,0
 Male,60,9,35,0
 Male,18,7,25,0
 Male,28,13,40,0
 Female,36,10,40,0
 Male,36,13,40,0
 Male,40,11,40,0
 Female,36,13,35,0
 Female,31,9,40,0
 Male,33,9,40,0
 Female,19,9,40,0
 Female,22,10,15,0
 Male,34,13,45,1
 Male,33,9,40,0
 Male,41,9,60,0
 Male,29,13,40,0
 Male,50,9,42,1
 Male,42,13,45,1
 Male,43,13,40,1
 Female,44,9,40,0
 Female,20,10,20,0
 Male,31,9,40,0
 Male,65,7,59,1
 Female,23,10,24,0
 Female,55,10,40,0
 Male,26,11,45,0
 Female,25,11,15,0
 Female,45,10,40,0
 Male,35,10,40,0
 Female,36,10,36,0
 Male,43,13,50,0
 Female,56,9,20,0
 Male,42,13,40,1
 Female,19,10,25,0
 Male,55,9,72,0
 Female,42,14,50,1
 Male,26,11,40,0
 Male,17,8,20,0
 Female,42,13,40,1
 Male,55,9,40,1
 Female,32,10,40,0
 Male,29,7,40,0
 Male,46,13,37,0
 Male,29,13,40,1
 Male,22,13,20,0
 Male,58,6,40,0
 Male,23,9,50,0
 Male,39,9,40,0
 Male,27,11,38,0
 Male,54,9,40,1
 Female,33,13,45,0
 Female,46,9,40,1
 Male,37,9,40,0
 Female,36,9,18,0
 Female,59,9,38,1
 Male,34,9,40,0
 Male,53,16,70,1
 Male,51,13,55,1
 Female,32,6,42,0
 Male,31,10,40,0
 Female,22,10,30,0
 Female,47,13,50,0
 Male,32,9,40,0
 Female,26,10,38,0
 Male,37,3,32,0
 Male,31,9,55,0
 Female,37,11,24,1
 Male,55,9,38,0
 Male,23,11,56,0
 Female,36,10,40,0
 Male,34,14,40,0
 Male,43,13,50,1
 Male,54,10,40,0
 Male,43,10,40,0
 Female,28,11,42,0
 Male,40,11,50,1
 Male,41,10,60,0
 Female,40,13,55,1
 Female,42,10,38,0
 Male,61,9,50,0
 Male,18,8,30,0
 Male,59,9,16,0
 Female,21,9,40,0
 Male,48,11,50,1
 Male,41,13,40,0
 Male,18,10,33,0
 Female,23,9,40,0
 Male,60,9,60,1
 Male,22,10,20,0
 Male,61,9,40,0
 Male,25,9,40,0
 Male,46,14,35,1
 Male,43,13,40,1
 Male,43,12,40,0
 Male,24,9,30,0
 Male,68,7,20,0
 Female,31,9,38,0
 Female,17,7,20,0
 Male,32,9,48,1
 Male,50,14,40,0
 Male,33,13,47,1
 Male,64,13,40,1
 Male,20,9,30,0
 Female,30,9,36,0
 Male,22,10,40,0
 Male,43,10,45,0
 Male,22,10,40,0
 Male,17,6,20,0
 Female,47,9,75,0
 Female,41,11,60,0
 Male,56,10,50,1
 Male,64,9,45,0
 Male,47,9,50,1
 Male,48,11,40,0
 Female,31,14,46,0
 Male,29,11,40,0
 Female,30,9,40,0
 Male,32,9,60,0
 Male,57,9,42,1
 Female,62,9,40,0
 Female,39,9,24,0
 Male,43,10,25,0
 Male,24,13,40,0
 Male,42,7,15,0
 Female,53,10,40,1
 Male,26,10,40,0
 Male,73,9,40,0
 Female,72,7,24,0
 Male,55,9,40,0
 Male,25,9,40,0
 Female,41,13,50,1
 Male,24,13,50,0
 Male,63,9,6,0
 Male,17,7,20,0
 Male,35,10,50,0
 Male,51,10,40,1
 Female,62,13,48,0
 Male,55,9,40,1
 Male,43,10,40,0
 Female,40,9,50,0
 Male,37,13,45,1
 Male,39,13,40,0
 Male,31,9,18,0
 Female,61,14,40,1
 Female,26,11,55,0
 Male,46,9,50,0
 Female,26,13,40,0
 Male,48,16,50,1
 Male,34,9,40,0
 Female,34,9,40,0
 Male,59,9,40,1
 Female,34,13,40,0
 Female,49,13,56,1
 Female,18,7,20,0
 Male,43,9,40,0
 Male,48,7,50,0
 Male,28,10,70,0
 Male,33,9,40,0
 Female,24,10,15,0
 Male,21,6,40,0
 Male,17,7,28,0
 Male,39,10,50,1
 Male,29,13,40,0
 Male,44,13,40,1
 Male,24,10,50,0
 Male,71,14,40,1
 Male,51,13,40,1
 Male,55,3,25,0
 Male,41,13,60,1
 Female,23,9,7,0
 Female,38,11,40,0
 Male,39,9,40,1
 Female,19,9,30,0
 Female,49,5,40,0
 Male,32,13,40,1
 Male,27,9,70,0
 Male,38,13,50,1
 Female,33,10,60,0
 Male,63,10,15,0
 Male,23,13,28,0
 Male,33,10,60,0
 Male,54,9,40,0
 Female,29,11,45,0
 Female,48,10,30,0
 Male,35,13,40,0
 Female,28,11,40,0
 Male,37,13,50,1
 Male,42,15,65,1
 Male,40,14,40,0
 Male,47,10,55,0
 Female,22,13,50,0
 Male,30,13,45,1
 Male,28,9,40,0
 Male,63,4,55,0
 Male,51,5,20,0
 Female,22,9,40,0
 Male,27,12,40,0
 Male,35,9,45,0
 Female,46,9,38,0
 Male,37,10,52,0
 Male,24,13,15,0
 Male,37,9,10,0
 Male,53,10,40,0
 Male,27,9,30,0
 Male,38,10,44,0
 Male,53,6,60,0
 Male,34,10,40,0
 Male,23,9,40,0
 Male,39,13,45,1
 Female,43,14,50,0
 Male,67,9,40,1
 Male,81,9,30,0
 Male,21,10,20,0
 Male,23,10,25,0
 Male,25,10,40,0
 Female,42,3,38,0
 Female,38,10,40,0
 Male,64,9,5,0
 Male,32,9,40,0
 Male,37,9,40,0
 Male,51,14,60,1
 Female,22,10,42,0
 Female,33,2,40,0
 Male,42,9,55,0
 Female,19,10,10,0
 Male,51,1,40,0
 Female,23,9,40,0
 Male,37,7,44,1
 Male,37,9,99,1
 Female,47,14,25,0
 Male,41,15,40,1
 Male,33,9,30,0
 Male,31,13,40,1
 Female,31,12,40,0
 Male,35,9,40,0
 Male,38,9,40,1
 Female,18,9,45,0
 Male,20,9,40,0
 Female,54,10,35,0
 Female,40,10,40,0
 Female,36,13,45,1
 Male,43,10,35,0
 Male,44,10,40,0
 Female,44,9,40,1
 Male,43,14,43,1
 Female,51,4,40,0
 Female,18,9,20,0
 Male,51,10,40,0
 Male,41,6,30,0
 Male,44,10,70,1
 Male,33,6,40,0
 Male,33,13,40,1
 Male,42,12,40,1
 Male,25,10,45,0
 Female,32,9,38,0
 Male,32,13,70,0
 Female,36,6,40,0
 Male,28,9,40,0
 Female,20,9,20,0
 Male,35,10,60,1
 Male,55,9,20,0
 Male,48,13,40,1
 Female,36,11,20,0
 Male,34,9,35,1
 Female,28,13,35,0
 Male,67,13,40,1
 Male,37,9,40,0
 Male,44,9,70,0
 Female,25,10,40,0
 Female,21,10,40,0
 Male,40,14,35,1
 Female,78,9,40,0
 Male,34,9,40,0
 Female,49,9,44,0
 Female,22,12,40,0
 Female,23,9,40,0
 Male,60,9,42,0
 Male,45,9,40,1
 Female,63,11,20,0
 Female,41,9,35,0
 Female,47,9,40,0
 Male,44,9,40,0
 Female,51,10,40,0
 Male,46,13,40,0
 Male,41,11,40,0
 Male,50,9,30,0
 Male,47,9,50,1
 Male,35,9,45,0
 Male,56,9,55,1
 Male,45,14,45,0
 Male,48,13,58,1
 Male,40,10,40,0
 Male,39,13,50,1
 Male,20,10,40,0
 Male,50,16,65,1
 Female,38,9,40,1
 Female,23,13,60,0
 Male,31,9,16,0
 Male,58,13,40,0
 Male,66,9,40,0
 Male,39,9,40,1
 Male,54,9,52,1
 Male,26,10,50,0
 Female,51,9,40,0
 Male,34,11,40,0
 Male,50,9,40,1
 Male,42,10,44,1
 Male,38,14,25,0
 Male,48,4,40,0
 Female,33,11,40,1
 Female,51,9,32,0
 Male,22,9,40,0
 Male,19,9,30,0
 Male,41,10,50,0
 Male,48,14,35,1
 Female,42,9,30,0
 Male,34,10,40,0
 Female,23,9,40,0
 Male,56,9,50,0
 Male,30,13,45,0
 Male,45,9,55,1
 Female,48,6,40,0
 Male,48,14,50,0
 Female,31,11,40,0
 Male,20,12,20,0
 Male,27,10,40,0
 Female,32,9,40,0
 Male,76,4,2,0
 Male,19,9,40,0
 Male,66,5,1,0
 Male,37,9,75,0
 Female,34,9,30,0
 Female,34,7,8,0
 Female,90,9,40,0
 Female,23,10,40,0
 Female,43,10,40,0
 Male,44,13,60,1
 Female,24,10,37,0
 Male,28,15,55,0
 Female,64,12,20,0
 Male,23,10,40,0
 Female,20,10,50,0
 Male,36,13,50,1
 Male,61,9,40,0
 Male,53,13,40,1
 Male,30,13,40,1
 Male,52,10,55,1
 Male,38,10,40,0
 Male,32,13,40,0
 Male,30,8,75,0
 Female,41,11,40,0
 Male,49,14,40,1
 Male,45,9,47,1
 Male,43,9,35,0
 Male,61,9,40,0
 Male,54,9,32,0
 Female,34,12,40,0
 Male,49,10,80,1
 Male,38,10,40,0
 Male,35,15,80,1
 Male,36,8,40,0
 Male,30,13,50,0
 Female,36,12,60,0
 Female,22,13,20,0
 Male,38,9,40,1
 Male,37,9,50,1
 Female,48,16,46,1
 Male,17,7,15,0
 Male,19,10,20,0
 Female,27,13,40,0
 Male,22,13,50,0
 Male,49,9,40,0
 Female,43,11,40,1
 Female,43,13,40,0
 Female,19,9,35,0
 Male,58,9,60,0
 Male,41,10,40,1
 Male,31,10,40,0
 Male,30,11,40,0
 Male,32,9,40,0
 Male,29,13,35,0
 Male,42,10,52,1
 Male,38,9,28,0
 Male,41,12,40,1
 Male,44,13,50,1
 Male,31,16,60,0
 Male,34,9,40,0
 Male,21,10,40,0
 Male,22,13,20,0
 Male,62,6,40,0
 Female,19,9,40,0
 Female,29,9,25,1
 Female,43,10,40,0
 Male,68,4,8,0
 Male,45,13,60,1
 Male,39,5,40,0
 Male,41,13,50,0
 Female,34,12,25,1
 Female,34,9,33,0
 Male,31,13,47,0
 Male,29,9,25,0
 Male,41,13,40,1
 Male,41,11,55,0
 Male,35,14,45,1
 Female,33,13,45,1
 Male,37,13,38,0
 Female,69,9,40,0
 Female,34,9,40,0
 Male,60,11,70,1
 Male,36,10,40,0
 Male,41,9,50,0
 Female,58,13,40,1
 Male,53,13,40,0
 Male,29,10,40,0
 Female,45,9,40,0
 Male,34,10,38,0
 Male,36,13,40,0
 Female,48,10,35,0
 Female,20,11,40,0
 Male,35,9,50,1
 Male,63,9,40,0
 Male,41,10,45,0
 Male,28,13,45,0
 Female,30,10,40,0
 Female,34,9,40,0
 Female,31,9,40,0
 Female,37,11,38,0
 Male,42,10,40,0
 Male,31,10,50,1
 Male,46,14,45,1
 Male,35,9,60,1
 Male,27,9,53,0
 Male,41,2,35,0
 Female,19,10,20,0
 Male,20,10,45,0
 Female,59,9,40,0
 Male,40,13,37,0
 Male,56,10,60,0
 Male,33,14,44,1
 Female,30,10,60,0
 Male,46,9,50,0
 Male,61,9,35,1
 Male,50,9,40,1
 Male,25,9,30,0
 Female,40,10,39,0
 Male,24,10,40,0
 Male,51,9,54,0
 Male,43,9,40,0
 Male,34,10,54,0
 Male,46,9,45,1
 Female,28,14,50,1
 Male,26,13,40,0
 Male,20,9,28,0
 Male,44,11,40,0
 Male,51,9,40,0
 Male,33,13,60,1
